A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!PIN_XNET_PINS!
J!C:/Users/patri/OneDrive/桌面/quadcopter OrCad2/PCB1.brd!Fri Oct 29 01:05:38 2021!0.0000!0.0000!594.0000!420.0000!0.0001!millimeters!QUADCOPTER!10.400000 mil!2!UP TO DATE!
S!+5V!PAD1!1!@quadcopter.\quadcopter project\(sch_1):ins51471@misc.\pinpad.normal\(chips)!PINPAD_ESC_PINPAD!!!F30!!!!!!
S!GND!PAD2!1!@quadcopter.\quadcopter project\(sch_1):ins51583@misc.\pinpad.normal\(chips)!PINPAD_ESC_PINPAD!!!F29!!!!!!
S!N06124!R9!1!@quadcopter.\quadcopter project\(sch_1):ins25267@quadcopter.\r_7.normal\(chips)!R_7_RESC2012X60N_20!!!F16!!!!!!
S!PA11!R9!2!@quadcopter.\quadcopter project\(sch_1):ins25267@quadcopter.\r_7.normal\(chips)!R_7_RESC2012X60N_20!!!F16!!!!!!
S!GND_POWER!C10!1!@quadcopter.\quadcopter project\(sch_1):ins3273@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F50!!!!!!
S!VCC_3.3!C10!2!@quadcopter.\quadcopter project\(sch_1):ins3273@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F50!!!!!!
S!GND_POWER!C11!1!@quadcopter.\quadcopter project\(sch_1):ins3299@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F49!!!!!!
S!VCC_3.3!C11!2!@quadcopter.\quadcopter project\(sch_1):ins3299@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F49!!!!!!
S!GND_POWER!C3!1!@quadcopter.\quadcopter project\(sch_1):ins3335@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F48!!!!!!
S!VCC_3.3!C3!2!@quadcopter.\quadcopter project\(sch_1):ins3335@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F48!!!!!!
S!GND_POWER!C4!1!@quadcopter.\quadcopter project\(sch_1):ins3351@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F47!!!!!!
S!VCC_3.3!C4!2!@quadcopter.\quadcopter project\(sch_1):ins3351@analog.\c.normal\(chips)!C_CAPC2012X140N_100N!!!F47!!!!!!
S!GND_POWER!C12!1!@quadcopter.\quadcopter project\(sch_1):ins2989@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F46!!!!!!
S!PC15!C12!2!@quadcopter.\quadcopter project\(sch_1):ins2989@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F46!!!!!!
S!GND_POWER!C13!1!@quadcopter.\quadcopter project\(sch_1):ins1491@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F45!!!!!!
S!OSCIN!C13!2!@quadcopter.\quadcopter project\(sch_1):ins1491@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F45!!!!!!
S!GND_POWER!C14!1!@quadcopter.\quadcopter project\(sch_1):ins1509@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F44!!!!!!
S!OSCOUT!C14!2!@quadcopter.\quadcopter project\(sch_1):ins1509@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F44!!!!!!
S!GND_POWER!C9!1!@quadcopter.\quadcopter project\(sch_1):ins2973@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F43!!!!!!
S!PC14!C9!2!@quadcopter.\quadcopter project\(sch_1):ins2973@analog.\c.normal\(chips)!C_CAPC2012X140N_20PF!!!F43!!!!!!
S!VCC_3.3!C15!1!@quadcopter.\quadcopter project\(sch_1):ins11583@analog.\c.normal\(chips)!C_CAPC2012X140N_0.01UF!!!F42!!!!!!
S!GND!C15!2!@quadcopter.\quadcopter project\(sch_1):ins11583@analog.\c.normal\(chips)!C_CAPC2012X140N_0.01UF!!!F42!!!!!!
S!N11835!C16!1!@quadcopter.\quadcopter project\(sch_1):ins11815@analog.\c.normal\(chips)!C_CAPC2012X140N_0.1UF!!!F41!!!!!!
